"n-1" "n" "frequency"
"but" "when" 402
"one" "is" 402
"friends" "and" 402
"us" "and" 402
"a" "more" 402
"over" "a" 401
"bunch" "of" 401
"that" "makes" 400
"a" "person" 400
"middle" "of" 400
"a" "month" 400
"over" "to" 400
"the" "water" 400
"the" "national" 399
"the" "person" 399
"on" "how" 399
"someone" "who" 399
"would" "not" 398
"were" "the" 398
"it" "does" 398
"with" "our" 398
"a" "place" 398
"find" "the" 398
"become" "a" 398
"to" "for" 397
"will" "you" 397
"my" "day" 396
"and" "had" 396
"glad" "to" 396
"set" "up" 396
"when" "a" 396
"me" "so" 396
"will" "get" 396
"for" "one" 396
"i" "look" 396
"all" "this" 395
"think" "you" 395
"quite" "a" 394
"on" "me" 394
"week" "i" 394
"no" "i" 393
"have" "fun" 393
"the" "perfect" 393
"year" "i" 393
"just" "saw" 392
"be" "so" 392
"see" "that" 392
"let" "the" 392
"i'm" "still" 392
"because" "he" 391
"now" "the" 391
"the" "internet" 390
"other" "than" 390
"the" "little" 390
"does" "it" 390
"end" "up" 389
"no" "more" 389
"there" "will" 389
"work" "with" 388
"enjoy" "the" 388
"time" "with" 388
"them" "i" 388
"you" "feel" 388
"pretty" "much" 388
"i" "heard" 387
"at" "that" 387
"was" "my" 387
"on" "top" 386
"that" "way" 386
"because" "you" 386
"in" "life" 385
"it" "had" 385
"in" "any" 385
"with" "and" 385
"on" "saturday" 385
"focus" "on" 385
"great" "to" 384
"work" "in" 384
"a" "girl" 384
"in" "there" 383
"any" "other" 383
"get" "in" 383
"i" "told" 383
"few" "days" 382
"will" "do" 382
"a" "game" 382
"had" "an" 382
"behind" "the" 382
"not" "so" 381
"me" "but" 381
"didn't" "have" 381
"you" "ever" 381
"again" "i" 381
"it" "it" 381
"if" "your" 380
"how" "about" 380
"in" "its" 380
"my" "husband" 380
"one" "in" 380
"soon" "as" 379
"idea" "of" 379
"join" "us" 379
"a" "second" 378
"a" "part" 378
"up" "my" 378
"good" "for" 378
"you" "that" 377
"love" "your" 377
"plenty" "of" 377
"we" "just" 377
"to" "spend" 377
"the" "school" 376
"into" "my" 376
"are" "just" 376
"to" "school" 376
"night" "i" 376
"thanks" "so" 376
"the" "hell" 376
"on" "friday" 375
"a" "bunch" 375
"have" "it" 375
"group" "of" 375
"he" "could" 375
"it" "takes" 375
"so" "happy" 375
"is" "only" 375
"to" "everyone" 374
"a" "half" 374
"to" "become" 374
"the" "government" 374
"of" "new" 374
"keep" "it" 374
"ice" "cream" 374
"got" "my" 374
"my" "hair" 374
"the" "music" 373
"glad" "you" 372
"i'm" "gonna" 372
"on" "facebook" 372
"the" "floor" 372
"could" "not" 372
"but" "also" 371
"the" "problem" 371
"of" "things" 371
"was" "very" 371
"were" "a" 371
"it's" "time" 371
"and" "let" 371
"i" "loved" 370
"the" "weather" 370
"trip" "to" 370
"you're" "not" 369
"so" "they" 369
"was" "one" 369
"there's" "no" 368
"must" "have" 368
"the" "room" 367
"love" "my" 367
"so" "i'm" 367
"oh" "my" 367
"the" "power" 367
"call" "me" 367
"love" "with" 367
"look" "forward" 367
"ability" "to" 367
"do" "we" 366
"it" "that" 366
"haha" "i" 366
"throughout" "the" 366
"to" "one" 366
"can" "we" 366
"had" "no" 365
"what" "happened" 365
"do" "is" 365
"is" "at" 365
"love" "this" 365
"keep" "the" 364
"check" "it" 364
